date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
01/23/20 16:59:47,51a00105,0.784,0.427,Car
01/23/20 16:59:50,72l94351,0.911,0.771,Motorcycle
01/23/20 16:59:50,a90105,0.668,0.475,Car
01/23/20 16:59:54,72l94351,0.911,0.799,Motorcycle
01/23/20 16:59:54,5100105,0.722,0.418,Car
01/23/20 16:59:58,72l94351,0.903,0.795,Motorcycle
01/23/20 16:59:58,100105,0.658,0.519,Car
01/23/20 17:00:01,72l94351,0.908,0.8,Motorcycle
01/23/20 17:00:01,al00105,0.665,0.487,Car
01/23/20 17:00:05,72l94351,0.909,0.808,Motorcycle
01/23/20 17:00:05,al00105,0.696,0.442,Car
01/23/20 17:00:08,72l94351,0.906,0.796,Motorcycle
01/23/20 17:00:08,am90105,0.742,0.453,Car
01/23/20 17:00:12,72l94351,0.912,0.81,Motorcycle
01/23/20 17:00:12,a90105,0.692,0.416,Car
01/23/20 17:00:16,72l94351,0.91,0.806,Motorcycle
01/23/20 17:00:16,l90105,0.832,0.489,Car
01/23/20 17:00:20,72l94351,0.91,0.808,Motorcycle
01/23/20 17:00:20,09105,0.766,0.486,Car
01/23/20 17:00:23,72l94351,0.908,0.816,Motorcycle
01/23/20 17:00:27,72l94351,0.911,0.773,Motorcycle
01/23/20 17:00:27,88105,0.644,0.495,Car
01/23/20 17:00:31,72l94351,0.907,0.767,Motorcycle
01/23/20 17:00:31,p9105,0.657,0.461,Car
01/23/20 17:00:35,72l94351,0.907,0.807,Motorcycle
01/23/20 17:00:35,a69105,0.712,0.487,Car
01/23/20 17:00:39,72l94351,0.906,0.783,Motorcycle
01/23/20 17:00:43,72l94351,0.91,0.793,Motorcycle
01/23/20 17:00:47,72l94351,0.91,0.799,Motorcycle
01/23/20 17:00:51,72l94351,0.918,0.808,Motorcycle
01/23/20 17:00:54,72l94351,0.91,0.783,Motorcycle
date,license_plate,score,dscore,vehicle_type
01/23/20 17:01:00,51a90105,0.897,0.619,Car
01/23/20 17:01:03,51a90105,0.896,0.626,Car
01/23/20 17:01:07,51a90105,0.896,0.653,Car
